AccelX,AccelY,AccelZ,OldAX,OldAY,OldAZ,Old2AX,Old2AY,Old2AZ,AvgAX,AvgAY,AvgAZ,DX,DY,Dz
-0.4508,-1.666,9.6236,-0.6664,-1.4406,9.7216,-0.6664,-1.4406,9.7216,-0.594533,-1.51573,9.68893,-6.9713e+32,-0.818382,6.90774
-0.6566,-0.9996,9.8,-0.4508,-1.666,9.6236,-0.4508,-1.666,9.6236,-0.5194,-1.44387,9.6824,-6.9713e+32,-0.825601,6.95615
-0.0686,-1.1564,9.9372,-0.6566,-0.9996,9.8,-0.6566,-0.9996,9.8,-0.4606,-1.05187,9.84573,-6.9713e+32,-0.83086,7.00538
-1.0878,-1.0094,9.5942,-0.0686,-1.1564,9.9372,-0.0686,-1.1564,9.9372,-0.408333,-1.1074,9.82287,-6.9713e+32,-0.836397,7.0545
-0.3822,-1.2838,9.5648,-1.0878,-1.0094,9.5942,-1.0878,-1.0094,9.5942,-0.8526,-1.10087,9.5844,-6.9713e+32,-0.841902,7.10242
-0.9702,-1.0192,9.6922,-0.3822,-1.2838,9.5648,-0.3822,-1.2838,9.5648,-0.5782,-1.1956,9.60727,-6.9713e+32,-0.84788,7.15046
-1.1564,-1.2054,10.339,-0.9702,-1.0192,9.6922,-0.9702,-1.0192,9.6922,-1.03227,-1.08127,9.9078,-6.9713e+32,-0.853286,7.19999
-0.7448,-0.8624,9.8882,-1.1564,-1.2054,10.339,-1.1564,-1.2054,10.339,-1.0192,-1.09107,10.1887,-6.9713e+32,-0.858741,7.25094
-0.441,-0.784,9.555,-0.7448,-0.8624,9.8882,-0.7448,-0.8624,9.8882,-0.643533,-0.836267,9.77713,-6.9713e+32,-0.862923,7.29982
-0.9506,-0.6664,9.9176,-0.441,-0.784,9.555,-0.441,-0.784,9.555,-0.610867,-0.7448,9.67587,-6.9713e+32,-0.866647,7.3482
-0.4508,-0.9898,9.8588,-0.9506,-0.6664,9.9176,-0.9506,-0.6664,9.9176,-0.784,-0.7742,9.898,-6.9713e+32,-0.870518,7.39769
-0.49,-0.7644,9.8686,-0.4508,-0.9898,9.8588,-0.4508,-0.9898,9.8588,-0.463867,-0.914667,9.86207,-6.9713e+32,-0.875091,7.447
-0.7154,-0.4704,9.7216,-0.49,-0.7644,9.8686,-0.49,-0.7644,9.8686,-0.565133,-0.6664,9.8196,-6.9713e+32,-0.878423,7.4961
-0.7252,-0.7938,9.7314,-0.7154,-0.4704,9.7216,-0.7154,-0.4704,9.7216,-0.718667,-0.5782,9.72487,-6.9713e+32,-0.881314,7.54473
-0.6076,-0.784,9.7902,-0.7252,-0.7938,9.7314,-0.7252,-0.7938,9.7314,-0.686,-0.790533,9.751,-6.9713e+32,-0.885267,7.59348
-0.7252,-0.8918,9.8294,-0.6076,-0.784,9.7902,-0.6076,-0.784,9.7902,-0.6468,-0.819933,9.80327,-6.9713e+32,-0.889366,7.6425
-0.735,-0.8134,9.7216,-0.7252,-0.8918,9.8294,-0.7252,-0.8918,9.8294,-0.728467,-0.865667,9.79347,-6.9713e+32,-0.893695,7.69147
-0.6468,-0.98,9.8392,-0.735,-0.8134,9.7216,-0.735,-0.8134,9.7216,-0.7056,-0.868933,9.7608,-6.9713e+32,-0.898039,7.74027
-0.9212,-0.784,9.849,-0.6468,-0.98,9.8392,-0.6468,-0.98,9.8392,-0.738267,-0.914667,9.84247,-6.9713e+32,-0.902613,7.78948
-0.8134,-1.0682,9.7902,-0.9212,-0.784,9.849,-0.9212,-0.784,9.849,-0.885267,-0.878733,9.8294,-6.9713e+32,-0.907006,7.83863
